country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Germany,DEU,Europe,Western Europe,2014,BiocapPerCap,0.805887552,0.064127484,0.688715355,0.075076886,0.156701515,0,1.790508793,45022.6,80646000
Ghana,GHA,Africa,Western Africa,2014,BiocapPerCap,0.704182546,0.243915151,0.274124782,0.05745944,0.080972525,0,1.360654444,1659.78,26787000
Greece,GRC,Europe,Southern Europe,2014,BiocapPerCap,0.995684472,0.144112591,0.231897469,0.175215822,0.057068144,0,1.603978498,22565.7,11001000
Grenada,GRD,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,2.176618455,7932.67,106000
Guadeloupe,GLP,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.115178629,0.026969028,0.132142361,0.178567456,0.002941259,0,0.455798733,0,466000
Guatemala,GTM,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.450778347,0.150137888,0.314556798,0.044410367,0.088553493,0,1.048436893,3007.9,16015000
Guinea,GIN,Africa,Western Africa,2014,BiocapPerCap,0.361450522,0.708684562,0.587522172,0.287078998,0.04312685,0,1.987863103,699.964,12276000
Guinea-Bissau,GNB,Africa,Western Africa,2014,BiocapPerCap,0.519745425,0.33220835,0.3101213,1.671321206,0.065965714,0,2.899361996,545.898,1801000
Guyana,GUY,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.787026306,1.583790993,60.98477365,5.376086119,0.070200824,0,68.80187789,3598.29,764000
Haiti,HTI,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.236820038,0.031488199,0.007839493,0.011670644,0.035793331,0,0.323611705,728.78,10572000
Honduras,HND,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0,0,0,0,0,0,1.729550008,2059.47,7962000
Hungary,HUN,Europe,Eastern Europe,2014,BiocapPerCap,1.744280923,0.059304395,0.694481443,0.004772937,0.17978923,0,2.682628928,14119.1,9890000
India,IND,Asia,Southern Asia,2014,BiocapPerCap,0.34907593,0.003251691,0.021468208,0.028392197,0.049985506,0,0.452173533,1646.78,1295292000
Indonesia,IDN,Asia,South-Eastern Asia,2014,BiocapPerCap,0.494505933,0.05532244,0.284258422,0.374437113,0.062521244,0,1.271045152,3692.94,254455000
"Iran, Islamic Republic of",IRN,Asia,Southern Asia,2014,BiocapPerCap,0.361002661,0.069917299,0.061279113,0.191500058,0.0714249,0,0.755124032,6161.1,78144000
Iraq,IRQ,Asia,Western Asia,2014,BiocapPerCap,0.233630547,0.017669221,0.043955186,0.002049164,0.050620099,0,0.347924217,5203.44,35273000
Ireland,IRL,Europe,Northern Europe,2014,BiocapPerCap,0.624770474,0.745028695,0.495852343,1.47576358,0.101228202,0,3.442643293,54527.3,4675000
Israel,ISR,Asia,Western Asia,2014,BiocapPerCap,0.154900037,0.006471626,0.032126524,0.01559108,0.059134658,0,0.268223925,32661.3,7939000
Italy,ITA,Europe,Southern Europe,2014,BiocapPerCap,0.445813416,0.041924953,0.338046493,0.062187699,0.049013711,0,0.936986272,33626.1,59821000
Jamaica,JAM,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0.157791723,0,0.102174447,0.114202505,0.045566433,0,0.419735108,4714.86,2783000
Japan,JPN,Asia,Eastern Asia,2014,BiocapPerCap,0.092488877,0.004727198,0.347431443,0.101072645,0.058817816,0,0.604537979,46466.1,126795000
Jordan,JOR,Asia,Western Asia,2014,BiocapPerCap,0.091148557,0.016800283,0.024707709,0.002762596,0.073825567,0,0.209244712,3348.83,7416000
Kazakhstan,KAZ,Asia,Central Asia,2014,BiocapPerCap,1.304757793,1.824891018,0.224246759,0.053343189,0.039621473,0,3.446860231,10645.5,17372000
Kenya,KEN,Africa,Eastern Africa,2014,BiocapPerCap,0.225740131,0.229289561,0.016489125,0.01802369,0.043260794,0,0.532803301,1075.64,44864000
Kiribati,KIR,Oceania,Micronesia,2014,BiocapPerCap,0,0,0,0,0,0,1.287747839,1565.24,110000
"Korea, Democratic People's Republic of",PRK,Asia,Eastern Asia,2014,BiocapPerCap,0.240931108,0.001482695,0.197414207,0.094176519,0.058324752,0,0.592329281,0,25027000
"Korea, Republic of",KOR,Asia,Eastern Asia,2014,BiocapPerCap,0.13741215,0.000887257,0.09056992,0.395550693,0.061556417,0,0.685976437,24323.6,50074000
Kuwait,KWT,Asia,Western Asia,2014,BiocapPerCap,0.034699508,0.006101019,0.003129607,0.323913492,0.243153033,0,0.61099666,36259.4,3753000
Kyrgyzstan,KGZ,Asia,Central Asia,2014,BiocapPerCap,0.342306664,0.593005139,0.056655445,0.051275053,0.062530172,0,1.105772473,1003.51,5844000
Lao People's Democratic Republic,LAO,Asia,South-Eastern Asia,2014,BiocapPerCap,0.745564381,0.124589215,0.78218073,0.032980282,0.146023672,0,1.83133828,1470.5,6689000
Latvia,LVA,Europe,Northern Europe,2014,BiocapPerCap,1.423206594,0.323417332,4.190570631,2.014588995,0.056018587,0,8.007802139,13786.4,1989000
Lebanon,LBN,Asia,Western Asia,2014,BiocapPerCap,0.156015117,0.037527115,0.045950927,0.006088282,0.06503351,0,0.310614952,7447.36,5612000
Lesotho,LSO,Africa,Southern Africa,2014,BiocapPerCap,0.049654529,0.724025476,0.002571393,0,0.009969924,0,0.786221322,1323.24,2109000
Liberia,LBR,Africa,Western Africa,2014,BiocapPerCap,0.152565761,0.588200258,1.348529399,0.308632853,0.034128308,0,2.432056579,376.589,4397000
Libyan Arab Jamahiriya,LBY,Africa,Northern Africa,2014,BiocapPerCap,0.170711247,0.225960037,0.019587146,0.252721283,0.020214543,0,0.689194257,0,6259000
Lithuania,LTU,Europe,Northern Europe,2014,BiocapPerCap,2.326515508,0.111448954,2.150305682,0.310424435,0.099140443,0,4.997835022,14932.6,2917000
Luxembourg,LUX,Europe,Western Europe,2014,BiocapPerCap,0.372713351,0.073326238,0.827724564,0.0006864,0.101361259,0,1.375811812,107153,557000
Macedonia TFYR,MKD,Europe,Southern Europe,2014,BiocapPerCap,0.476947246,0.168945742,0.927460536,0.016606781,0.028835401,0,1.618795706,4920.22,2076000
Madagascar,MDG,Africa,Eastern Africa,2014,BiocapPerCap,0.239716951,1.240810053,0.746328911,0.202920092,0.055661637,0,2.485437644,408.661,23572000
Malawi,MWI,Africa,Eastern Africa,2014,BiocapPerCap,0.459302473,0.072008078,0.021363035,0.053297262,0.056335896,0,0.662306743,484.369,16695000
Malaysia,MYS,Asia,South-Eastern Asia,2014,BiocapPerCap,0.759929439,0.01364016,0.710525014,0.828894195,0.075265005,0,2.388253813,10398.2,29902000
Mali,MLI,Africa,Western Africa,2014,BiocapPerCap,0.561033348,0.623244325,0.211066443,0.04304011,0.072218115,0,1.510602341,705.788,17086000
Malta,MLT,Europe,Southern Europe,2014,BiocapPerCap,0.094100625,0,0.000748948,0.47484349,0.050797607,0,0.62049067,24080.2,418000
Martinique,MTQ,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,0.376130593,0,396000
Mauritania,MRT,Africa,Western Africa,2014,BiocapPerCap,0.119278355,2.811068576,0.043206232,1.328095663,0.049244366,0,4.350893192,1326.16,3970000
Mauritius,MUS,Africa,Eastern Africa,2014,BiocapPerCap,0,0,0,0,0,0,0.711835059,9163.63,1269000
Mexico,MEX,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.341351016,0.234328798,0.445763724,0.134698358,0.04584779,0,1.201989686,9492.99,125386000
"Micronesia, Federated States of",FSM,Oceania,Micronesia,2014,BiocapPerCap,0,0,0,0,0,0,3.829960065,2716.32,104000
Moldova,MDA,Europe,Eastern Europe,2014,BiocapPerCap,0.950106446,0.060374122,0.085767515,0.008848422,0.055023732,0,1.160120237,1986.94,4072000
Mongolia,MNG,Asia,Eastern Asia,2014,BiocapPerCap,0.213522927,7.955729627,6.590330471,0.133436331,0.065673785,0,14.95869314,3901.87,2910000
Montenegro,MNE,Europe,Southern Europe,2014,BiocapPerCap,0.055839692,0.107279323,2.591725831,0.242595647,0.020571218,0,3.018011711,7045.12,625000
Montserrat,MSR,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,0,0,0,0,0,0,1.350898039,0,5000
Morocco,MAR,Africa,Northern Africa,2014,BiocapPerCap,0.399250766,0.165035117,0.093683129,0.071870082,0.040529811,0,0.770368905,3110.21,33921000
Mozambique,MOZ,Africa,Eastern Africa,2014,BiocapPerCap,0.244354152,0.894183114,0.552810119,0.15540096,0.049996915,0,1.89674526,493.252,27216000
Myanmar,MMR,Asia,South-Eastern Asia,2014,BiocapPerCap,0.943368628,0.004774114,0.530353597,0.284100662,0.119043048,0,1.881640049,1266.12,53437000
Namibia,NAM,Africa,Southern Africa,2014,BiocapPerCap,0.137549479,1.518166932,0.328845915,4.514283337,0.019803384,0,6.518649047,5901.24,2403000
Nepal,NPL,Asia,Southern Asia,2014,BiocapPerCap,0.3864916,0.047150266,0.058171204,0.004998311,0.109888903,0,0.606700284,675.735,28175000
Netherlands,NLD,Europe,Western Europe,2014,BiocapPerCap,0.227461397,0.043001267,0.078022887,0.426335133,0.08940336,0,0.864224044,50497.2,16868000
Nicaragua,NIC,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.362536706,0.587926191,0.729382204,0.490598792,0.043130525,0,2.213574418,1812.99,6014000
Niger,NER,Africa,Western Africa,2014,BiocapPerCap,0.875140669,0.465919954,0.04543318,0.000577112,0.041633506,0,1.428704421,386.726,19114000
Nigeria,NGA,Africa,Western Africa,2014,BiocapPerCap,0.506344123,0.11359229,0.014100983,0.017804969,0.05233098,0,0.704173344,2563.09,177476000
Norway,NOR,Europe,Northern Europe,2014,BiocapPerCap,0.282180375,0.595296499,3.49523744,2.983670503,0.05521287,0,7.411597687,89275,5148000
Oman,OMN,Asia,Western Asia,2014,BiocapPerCap,0.049597902,0.034410635,0.000887299,1.271911016,0.184942117,0,1.541748969,17132.1,4236000
Pakistan,PAK,Asia,Southern Asia,2014,BiocapPerCap,0.307451618,0.003791139,0.008764854,0.034904131,0.042505098,0,0.39741684,1111.2,185044000
Panama,PAN,Latin America and the Caribbean,Central America,2014,BiocapPerCap,0.14723771,0.427861549,1.687561428,0.599877478,0.026672347,0,2.889210511,10229.2,3868000
Papua New Guinea,PNG,Oceania,Melanesia,2014,BiocapPerCap,0.404268387,0.036206267,2.533678638,0.703083923,0.156084387,0,3.833321604,2271.48,7464000
Paraguay,PRY,Latin America and the Caribbean,South America,2014,BiocapPerCap,2.466455133,2.34691694,5.382388668,0.053039465,0.123533305,0,10.37233351,3761.91,6553000
Peru,PER,Latin America and the Caribbean,South America,2014,BiocapPerCap,0.32195654,0.502906331,2.697459324,0.198213658,0.067697847,0,3.788233699,5823.96,30973000
