country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Rwanda,RWA,Africa,Eastern Africa,2014,EFConsPerCap,0.351889107,0.034859483,0.247591545,0.012236618,0.047568212,0.08108654,0.775231504,672.749,11342000
Saint Lucia,LCA,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.369771635,0.102309454,0.109695202,0.250906776,0.001923422,1.216737038,2.051343528,7987.53,184000
Samoa,WSM,Oceania,Polynesia,2014,EFConsPerCap,0,0,0,0,0,0,2.386064846,3524.6,192000
Sao Tome and Principe,STP,Africa,Middle Africa,2014,EFConsPerCap,0,0,0,0,0,0,1.785786411,1241,186000
Saudi Arabia,SAU,Asia,Western Asia,2014,EFConsPerCap,0.744028376,0.237494406,0.217068237,0.079347718,0.024575796,4.700114801,6.002629332,21183.5,30887000
Senegal,SEN,Africa,Western Africa,2014,EFConsPerCap,0.3207615,0.188025582,0.199600612,0.108771516,0.026325066,0.268507428,1.111991705,1018.39,14673000
Serbia,SRB,Europe,Southern Europe,2014,EFConsPerCap,0.806878115,0.006191772,0.485201537,0.029192916,0.064315749,1.526936958,2.918717046,5593.06,8893000
Sierra Leone,SLE,Africa,Western Africa,2014,EFConsPerCap,0.505306432,0.10752199,0.361930843,0.110927366,0.05946452,0.081722055,1.226873206,563.174,6316000
Singapore,SGP,Asia,South-Eastern Asia,2014,EFConsPerCap,0.583682877,0.236097871,0.346808203,0.234337289,0.042258644,4.414203166,5.85738805,51865.7,5507000
Slovakia,SVK,Europe,Eastern Europe,2014,EFConsPerCap,0.650187386,0.132817245,0.674869541,0.042101587,0.125234131,2.570335624,4.195545513,18003.5,5423000
Slovenia,SVN,Europe,Southern Europe,2014,EFConsPerCap,0.656669925,0.182056083,0.93016321,0.046552405,0.024921849,2.835090886,4.675454359,23224.4,2066000
Somalia,SOM,Africa,Eastern Africa,2014,EFConsPerCap,0.129076617,0.458285134,0.530630235,0.005757385,0.032934289,0.05218164,1.2088653,0,10518000
South Africa,ZAF,Africa,Southern Africa,2014,EFConsPerCap,0.33380893,0.109995929,0.233864395,0.08896153,0.035049346,2.613698791,3.415378922,7626.81,53969000
South Sudan,SSD,Africa,Northern Africa,2014,EFConsPerCap,0.310986686,0.989305571,0.14595795,0.004936123,0.047568176,0.043334819,1.542089326,820.114,11911000
Spain,ESP,Europe,Southern Europe,2014,EFConsPerCap,0.842889373,0.148714572,0.210784216,0.376544602,0.038755653,2.188254632,3.805943048,29496.4,46260000
Sri Lanka,LKA,Asia,Southern Asia,2014,EFConsPerCap,0.347169539,0.010432158,0.176876145,0.280805249,0.056385407,0.660300913,1.531969411,3506.73,20619000
Sudan,SDN,Africa,Northern Africa,2014,EFConsPerCap,0.526948508,0.346907924,0.177520572,0.001111532,0.038348491,0.127489324,1.21832635,1837.14,39350000
Suriname,SUR,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.551988645,0.08517688,0.54885757,0.210465059,0.095743393,2.143158259,3.635389806,8942.96,538000
Swaziland,SWZ,Africa,Southern Africa,2014,EFConsPerCap,0.340087461,0.41564807,0.849963772,0.019015149,0.070146186,0.703234681,2.398095319,3980.77,1269000
Sweden,SWE,Europe,Northern Europe,2014,EFConsPerCap,1.016282362,0.42485415,1.610214633,0.14508236,0.140698795,3.253922789,6.591055088,53561.9,9703000
Switzerland,CHE,Europe,Western Europe,2014,EFConsPerCap,0.663587536,0.219505448,0.346129233,0.071217293,0.068338712,3.481661911,4.850440134,76410.9,8211000
Syrian Arab Republic,SYR,Asia,Western Asia,2014,EFConsPerCap,0.515147484,0.097075709,0.02925628,0.010582358,0.029263567,0.779250611,1.46057601,0,18772000
Tajikistan,TJK,Asia,Central Asia,2014,EFConsPerCap,0.423869949,0.137678745,0.112038277,0.002655051,0.093521232,0.198683984,0.968447238,892.64,8296000
"Tanzania, United Republic of",TZA,Africa,Eastern Africa,2014,EFConsPerCap,0.612631143,0.31317351,0.218834096,0.073588255,0.083787092,0.164749121,1.466763219,806.15,51823000
Thailand,THA,Asia,South-Eastern Asia,2014,EFConsPerCap,0.643242552,0.017009642,0.200763628,0.138787416,0.069450788,1.423195687,2.492449712,5589.7,67726000
Timor-Leste,TLS,Asia,South-Eastern Asia,2014,EFConsPerCap,0.258862043,0.064299391,0.038772658,0.02426501,0.040712254,0.13944569,0.566357047,893.872,1157000
Togo,TGO,Africa,Western Africa,2014,EFConsPerCap,0.386854356,0.097943221,0.250733932,0.060641336,0.026387066,0.284213618,1.106773529,531.156,7115000
Tonga,TON,Oceania,Polynesia,2014,EFConsPerCap,0,0,0,0,0,0,3.302010847,3581.84,106000
Trinidad and Tobago,TTO,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.482632085,0.19397597,0.390380551,0.124375121,0.001308062,5.4969433,6.689615088,16862.6,1354000
Tunisia,TUN,Africa,Northern Africa,2014,EFConsPerCap,0.650371064,0.089719548,0.250720352,0.074040809,0.02675763,1.080730411,2.172339815,4265.15,11130000
