country,UN_region,year,BC_crop_land,BC_grazing_land,BC_forest_land,BC_fishing_ground,BC_built_up_land,BC_total,EF_crop_land,EF_grazing_land,EF_forest_land,EF_fishing_ground,EF_built_up_land,EF_total,population
Fiji,Oceania,2014,0.298339771,0.090239258,1.286932072,0.650418248,0.045640736,2.371570085,0.576446347,0.187675151,0.74824279,1.357714897,0.045640736,3.897278512,886000
Finland,Europe,2014,0.877661268,0.047344169,9.477649474,2.3064549,0.155198054,12.86430787,1.006771999,0.172300933,0.494217579,0.25096899,0.155198054,6.094120602,5480000
France,Europe,2014,1.332077679,0.159239645,0.957672576,0.112552391,0.164222481,2.725764771,0.949670417,0.262003436,0.522114031,0.205771414,0.164222481,4.698092835,64159000
French Guiana,Latin America and the Caribbean,2014,0.106051503,0.064110874,87.61616996,15.06795922,0.005633596,102.8599252,0.106051503,0.064110874,0.433611236,0.121882012,0.005633596,2.594551664,261000
French Polynesia,Oceania,2014,0.203573103,0.032675593,0.707486139,0.415900899,0,1.359635734,0.767588085,0.62012278,0.115157839,0.845386821,0,4.102331946,280000
Gabon,Africa,2014,0.258422423,3.510860869,19.03008796,2.862054244,0.034340217,25.69576571,0.534796283,0.105332064,0.902084741,0.212526242,0.034340217,2.715199714,1688000
Gambia,Africa,2014,0.166488006,0.036581652,0.189759297,0.299358727,0.020546603,0.712734285,0.3632438,0.043685164,0.19720129,0.100801126,0.020546603,0.964624155,1928000
Georgia,Asia,2014,0.13254871,0.394555049,0.648434635,0.049078733,0.030698023,1.25531515,0.353940927,0.258615631,0.147755966,0.012755984,0.030698023,1.897387804,4035000
Germany,Europe,2014,0.805887552,0.064127484,0.688715355,0.075076886,0.156701515,1.790508793,0.914828959,0.170903874,0.51152578,0.051945836,0.156701515,5.047455334,80646000
Ghana,Africa,2014,0.704182546,0.243915151,0.274124782,0.05745944,0.080972525,1.360654444,0.571823215,0.073398855,0.663394834,0.180419476,0.080972525,1.95527228,26787000
Greece,Europe,2014,0.995684472,0.144112591,0.231897469,0.175215822,0.057068144,1.603978498,1.054703056,0.32764676,0.276551909,0.097899966,0.057068144,4.293608886,11001000
Grenada,Latin America and the Caribbean,2014,0,0,0,0,0,2.176618455,0,0,0,0,0,3.102874484,106000
Guadeloupe,Latin America and the Caribbean,2014,0.115178629,0.026969028,0.132142361,0.178567456,0.002941259,0.455798733,0.115916974,0.026969028,0.159871661,0.239324761,0.002941259,4.146922653,466000
Guatemala,Latin America and the Caribbean,2014,0.450778347,0.150137888,0.314556798,0.044410367,0.088553493,1.048436893,0.415715609,0.157623043,0.572433948,0.037990558,0.088553493,1.839585701,16015000
Guinea,Africa,2014,0.361450522,0.708684562,0.587522172,0.287078998,0.04312685,1.987863103,0.405745051,0.383709924,0.419634652,0.04342568,0.04312685,1.462458605,12276000
Guinea-Bissau,Africa,2014,0.519745425,0.33220835,0.3101213,1.671321206,0.065965714,2.899361996,0.173052112,0.335934853,0.600608907,0.002003551,0.065965714,1.279567528,1801000
Guyana,Latin America and the Caribbean,2014,0.787026306,1.583790993,60.98477365,5.376086119,0.070200824,68.80187789,0.639213443,0.110549009,0.77417085,0.038983033,0.070200824,2.872008587,764000
Haiti,Latin America and the Caribbean,2014,0.236820038,0.031488199,0.007839493,0.011670644,0.035793331,0.323611705,0.350894579,0.036417426,0.096239285,0.017008071,0.035793331,0.673119432,10572000
Honduras,Latin America and the Caribbean,2014,0,0,0,0,0,1.729550008,0,0,0,0,0,1.661326987,7962000
Hungary,Europe,2014,1.744280923,0.059304395,0.694481443,0.004772937,0.17978923,2.682628928,0.91137688,0.063842782,0.372966595,0.020787377,0.17978923,3.603739196,9890000
India,Asia,2014,0.34907593,0.003251691,0.021468208,0.028392197,0.049985506,0.452173533,0.334493714,0.007904946,0.128853718,0.016448153,0.049985506,1.120082775,1295292000
Indonesia,Asia,2014,0.494505933,0.05532244,0.284258422,0.374437113,0.062521244,1.271045152,0.464630141,0.029915277,0.21005249,0.22849741,0.062521244,1.608079712,254455000
"Iran, Islamic Republic of",Asia,2014,0.361002661,0.069917299,0.061279113,0.191500058,0.0714249,0.755124032,0.565358962,0.090102944,0.058411697,0.136678962,0.0714249,3.404047724,78144000
Iraq,Asia,2014,0.233630547,0.017669221,0.043955186,0.002049164,0.050620099,0.347924217,0.479828051,0.032526457,0.019095769,0.01175569,0.050620099,2.06668643,35273000
Ireland,Europe,2014,0.624770474,0.745028695,0.495852343,1.47576358,0.101228202,3.442643293,1.045423834,0.411332701,0.42770127,0.136440491,0.101228202,4.706650589,4675000
Israel,Asia,2014,0.154900037,0.006471626,0.032126524,0.01559108,0.059134658,0.268223925,0.807150691,0.240854679,0.335019231,0.083450037,0.059134658,4.679560706,7939000
Italy,Europe,2014,0.445813416,0.041924953,0.338046493,0.062187699,0.049013711,0.936986272,0.814513509,0.312491956,0.461416287,0.128279298,0.049013711,4.292110012,59821000
Jamaica,Latin America and the Caribbean,2014,0.157791723,0,0.102174447,0.114202505,0.045566433,0.419735108,0.427423142,0.077263287,0.181303604,0.080869181,0.045566433,1.773236744,2783000
Japan,Asia,2014,0.092488877,0.004727198,0.347431443,0.101072645,0.058817816,0.604537979,0.463006883,0.108003985,0.251481563,0.339120243,0.058817816,4.744244534,126795000
Jordan,Asia,2014,0.091148557,0.016800283,0.024707709,0.002762596,0.073825567,0.209244712,0.496958089,0.140427947,0.180530126,0.031659654,0.073825567,2.136058544,7416000
Kazakhstan,Asia,2014,1.304757793,1.824891018,0.224246759,0.053343189,0.039621473,3.446860231,0.947307164,0.185312933,0.110009523,0.02595459,0.039621473,5.813344162,17372000
Kenya,Africa,2014,0.225740131,0.229289561,0.016489125,0.01802369,0.043260794,0.532803301,0.255564549,0.227882942,0.260645028,0.043659183,0.043260794,1.039112749,44864000
Kiribati,Oceania,2014,0,0,0,0,0,1.287747839,0,0,0,0,0,5.843356484,110000
"Korea, Democratic People's Republic of",Asia,2014,0.240931108,0.001482695,0.197414207,0.094176519,0.058324752,0.592329281,0.285597699,0.001652778,0.137451343,0.024360631,0.058324752,2.87259366,25027000
"Korea, Republic of",Asia,2014,0.13741215,0.000887257,0.09056992,0.395550693,0.061556417,0.685976437,0.712895527,0.126808448,0.216904768,0.478766875,0.061556417,5.815715949,50074000
Kuwait,Asia,2014,0.034699508,0.006101019,0.003129607,0.323913492,0.243153033,0.61099666,0.623584595,0.311122247,0.199018623,0.076059862,0.243153033,7.649152593,3753000
Kyrgyzstan,Asia,2014,0.342306664,0.593005139,0.056655445,0.051275053,0.062530172,1.105772473,0.458373688,0.224243148,0.111094061,0.016009737,0.062530172,1.753071348,5844000
Lao People's Democratic Republic,Asia,2014,0.745564381,0.124589215,0.78218073,0.032980282,0.146023672,1.83133828,0.769501391,0.122167429,0.573655691,0.020102747,0.146023672,1.784002054,6689000
Latvia,Europe,2014,1.423206594,0.323417332,4.190570631,2.014588995,0.056018587,8.007802139,0.981874069,0.156168386,2.421409582,0.20763863,0.056018587,5.625795393,1989000
Lebanon,Asia,2014,0.156015117,0.037527115,0.045950927,0.006088282,0.06503351,0.310614952,0.596831173,0.26485523,0.225210765,0.049919363,0.06503351,3.353890617,5612000
Lesotho,Africa,2014,0.049654529,0.724025476,0.002571393,0,0.009969924,0.786221322,0.196622098,0.330424127,0.400714155,0.010640138,0.009969924,1.462411247,2109000
Liberia,Africa,2014,0.152565761,0.588200258,1.348529399,0.308632853,0.034128308,2.432056579,0.230192424,0.029530526,0.766741005,0.046060996,0.034128308,1.195187664,4397000
Libyan Arab Jamahiriya,Africa,2014,0.170711247,0.225960037,0.019587146,0.252721283,0.020214543,0.689194257,0.909503867,0.363324667,0.121528862,0.098825448,0.020214543,4.33438617,6259000
Lithuania,Europe,2014,2.326515508,0.111448954,2.150305682,0.310424435,0.099140443,4.997835022,1.313571752,0.240018845,1.407349091,0.372289883,0.099140443,5.796873709,2917000
Luxembourg,Europe,2014,0.372713351,0.073326238,0.827724564,0.0006864,0.101361259,1.375811812,1.087503449,0.715657307,0.785595156,0.147009006,0.101361259,12.28484212,557000
Macedonia TFYR,Europe,2014,0.476947246,0.168945742,0.927460536,0.016606781,0.028835401,1.618795706,0.688374263,0.225748592,0.292605057,0.032882289,0.028835401,3.081527149,2076000
Madagascar,Africa,2014,0.239716951,1.240810053,0.746328911,0.202920092,0.055661637,2.485437644,0.250310899,0.342522859,0.229538627,0.02253514,0.055661637,0.976587643,23572000
Malawi,Africa,2014,0.459302473,0.072008078,0.021363035,0.053297262,0.056335896,0.662306743,0.440443421,0.052325219,0.186187793,0.013002072,0.056335896,0.824202782,16695000
Malaysia,Asia,2014,0.759929439,0.01364016,0.710525014,0.828894195,0.075265005,2.388253813,0.643667627,0.134253243,0.350501929,0.413962016,0.075265005,4.422594097,29902000
Mali,Africa,2014,0.561033348,0.623244325,0.211066443,0.04304011,0.072218115,1.510602341,0.531521235,0.581929448,0.158668245,0.034114561,0.072218115,1.538089365,17086000
Malta,Europe,2014,0.094100625,0,0.000748948,0.47484349,0.050797607,0.62049067,0.803425146,0.345544049,0.211646263,0.530405728,0.050797607,4.888544214,418000
Martinique,Latin America and the Caribbean,2014,0,0,0,0,0,0.376130593,0,0,0,0,0,4.467807219,396000
Mauritania,Africa,2014,0.119278355,2.811068576,0.043206232,1.328095663,0.049244366,4.350893192,0.400125774,1.318511397,0.204025624,0.008611029,0.049244366,2.303236601,3970000
